"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 10 03:00:53 GMT 2024","Tue Dec 10 03:00:55 GMT 2024","2046","firefox","example.test.js","Playwright Test Example","","","Main Page should contain ""Playwright"" title",""
"passed","Tue Dec 10 03:00:57 GMT 2024","Tue Dec 10 03:00:58 GMT 2024","908","firefox","homePage.test.js","Home Page","","","The Login Form should exist and be accessible",""
"passed","Tue Dec 10 03:00:57 GMT 2024","Tue Dec 10 03:00:58 GMT 2024","832","firefox","homePage.test.js","Home Page","","","The Page Header should be equal with 'Swag Labs'",""
"passed","Tue Dec 10 03:00:49 GMT 2024","Tue Dec 10 03:00:50 GMT 2024","1557","chrome","example.test.js","Playwright Test Example","","","Main page component should be loaded",""
"failed","Tue Dec 10 03:01:03 GMT 2024","Tue Dec 10 03:01:03 GMT 2024","7","webkit","homePage.test.js","Home Page","","","The Login Form should exist and be accessible",""
"passed","Tue Dec 10 03:00:53 GMT 2024","Tue Dec 10 03:00:56 GMT 2024","2519","firefox","example.test.js","Playwright Test Example","","","Main page component should be loaded",""
"passed","Tue Dec 10 03:00:58 GMT 2024","Tue Dec 10 03:00:59 GMT 2024","847","firefox","homePage.test.js","Home Page","","","User must be able to interact with the input form",""
"failed","Tue Dec 10 03:01:02 GMT 2024","Tue Dec 10 03:01:02 GMT 2024","6","webkit","homePage.test.js","Home Page","","","The Page Header should be equal with 'Swag Labs'",""
"passed","Tue Dec 10 03:00:52 GMT 2024","Tue Dec 10 03:00:52 GMT 2024","554","chrome","homePage.test.js","Home Page","","","The Login Form should exist and be accessible",""
"passed","Tue Dec 10 03:00:52 GMT 2024","Tue Dec 10 03:00:53 GMT 2024","493","chrome","homePage.test.js","Home Page","","","User must be able to interact with the input form",""
"passed","Tue Dec 10 03:00:49 GMT 2024","Tue Dec 10 03:00:50 GMT 2024","1295","chrome","example.test.js","Playwright Test Example","","","Main Page should contain ""Playwright"" title",""
"failed","Tue Dec 10 03:01:00 GMT 2024","Tue Dec 10 03:01:00 GMT 2024","7","webkit","example.test.js","Playwright Test Example","","","Main Page should contain ""Playwright"" title",""
"passed","Tue Dec 10 03:00:51 GMT 2024","Tue Dec 10 03:00:52 GMT 2024","637","chrome","homePage.test.js","Home Page","","","The Page Header should be equal with 'Swag Labs'",""
"failed","Tue Dec 10 03:01:01 GMT 2024","Tue Dec 10 03:01:01 GMT 2024","7","webkit","example.test.js","Playwright Test Example","","","Main page component should be loaded",""
"failed","Tue Dec 10 03:01:04 GMT 2024","Tue Dec 10 03:01:04 GMT 2024","6","webkit","homePage.test.js","Home Page","","","User must be able to interact with the input form",""
